country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Denmark,395,-0.3,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-11-23
Denmark,395,-0.3,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-11-24
Denmark,395,-0.3,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-11-25
Denmark,395,-0.3,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-11-26
Denmark,395,-0.3,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-11-27
Denmark,395,-0.3,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-11-28
Denmark,395,-0.3,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-11-29
Denmark,395,-0.1,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-11-30
Denmark,395,-0.1,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-12-01
Denmark,395,-0.1,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-12-02
Denmark,395,-0.1,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-12-03
Denmark,395,-0.1,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-12-04
Denmark,395,-0.1,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-12-05
Denmark,395,-0.1,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-12-06
Denmark,395,-0.1,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-12-07
Denmark,395,-0.1,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-12-08
Denmark,395,-0.1,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-12-09
Denmark,395,-0.1,3.6,0.1,2.5,3.3,29.8,13.4,5.87,2023-12-10
Denmark,395,-0.1,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-11
Denmark,395,-0.1,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-12
Denmark,395,-0.1,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-13
Denmark,395,-0.1,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-14
Denmark,395,-0.1,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-15
Denmark,395,-0.1,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-16
Denmark,395,-0.1,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-17
Denmark,395,-0.1,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-18
Denmark,395,-0.1,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-19
Denmark,395,-0.1,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-20
Denmark,395,-0.1,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-21
Denmark,395,-0.7,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-22
Denmark,395,-0.7,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-23
Denmark,395,-0.7,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-24
Denmark,395,-0.7,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-25
Denmark,395,-0.7,3.6,0.6,2.5,3.3,29.8,13.4,5.87,2023-12-26
