country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Central African Republic,2,,5.0,1.1,6.4,-5.3,50.7,-13.8,5.58,2023-11-23
Central African Republic,2,,5.0,1.1,6.4,-5.3,50.7,-13.8,5.58,2023-11-24
Central African Republic,2,,5.0,1.1,6.4,-5.3,50.7,-13.8,5.58,2023-11-25
Central African Republic,2,,5.0,1.1,6.4,-5.3,50.7,-13.8,5.58,2023-11-26
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-11-27
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-11-28
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-11-29
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-11-30
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-12-01
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-12-02
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-12-03
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-12-04
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-12-05
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-12-06
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-12-07
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-12-08
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-12-09
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-12-10
Central African Republic,2,,5.0,0.98,6.4,-5.3,50.7,-13.8,5.58,2023-12-11
Central African Republic,2,,5.0,1.63,6.4,-5.3,50.7,-13.8,5.58,2023-12-12
Central African Republic,2,,5.0,1.63,6.4,-5.3,50.7,-13.8,5.58,2023-12-13
Central African Republic,2,,5.0,1.63,6.4,-5.3,50.7,-13.8,5.58,2023-12-14
Central African Republic,2,,5.0,1.63,6.4,-5.3,50.7,-13.8,5.58,2023-12-15
Central African Republic,2,,5.0,1.63,6.4,-5.3,50.7,-13.8,5.58,2023-12-16
Central African Republic,2,,5.0,1.63,6.4,-5.3,50.7,-13.8,5.58,2023-12-17
Central African Republic,2,,5.0,1.63,6.4,-5.3,50.7,-13.8,5.58,2023-12-18
Central African Republic,2,,5.0,1.63,6.4,-5.3,50.7,-13.8,5.58,2023-12-19
Central African Republic,2,,5.0,1.63,6.4,-5.3,50.7,-13.8,5.58,2023-12-20
Central African Republic,2,,5.0,1.63,6.4,-5.3,50.7,-13.8,5.58,2023-12-21
Central African Republic,2,,5.0,1.63,6.4,-5.3,50.7,-13.8,5.58,2023-12-22
