country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Liechtenstein,7,,,1.7,1.3,,,,0.04,2023-11-23
Liechtenstein,7,,,1.7,1.3,,,,0.04,2023-11-24
Liechtenstein,7,,,1.7,1.3,,,,0.04,2023-11-25
Liechtenstein,7,,,1.7,1.3,,,,0.04,2023-11-26
Liechtenstein,7,,,1.7,1.3,,,,0.04,2023-11-27
Liechtenstein,7,,,1.7,1.3,,,,0.04,2023-11-28
Liechtenstein,7,,,1.7,1.3,,,,0.04,2023-11-29
Liechtenstein,7,,,1.7,1.3,,,,0.04,2023-11-30
Liechtenstein,7,,,1.7,1.3,,,,0.04,2023-12-01
Liechtenstein,7,,,1.7,1.3,,,,0.04,2023-12-02
Liechtenstein,7,,,1.7,1.3,,,,0.04,2023-12-03
Liechtenstein,7,,,1.7,1.3,,,,0.04,2023-12-04
Liechtenstein,7,,,1.7,1.3,,,,0.04,2023-12-05
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-06
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-07
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-08
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-09
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-10
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-11
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-12
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-13
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-14
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-15
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-16
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-17
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-18
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-19
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-20
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-21
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-22
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-23
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-24
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-25
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-26
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-27
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-28
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-29
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-30
Liechtenstein,7,,,1.4,1.3,,,,0.04,2023-12-31
Liechtenstein,7,,,1.4,1.3,,,,0.04,2024-01-01
Liechtenstein,8,,,1.4,1.3,,,,0.04,2024-01-02
Liechtenstein,8,,,1.4,1.3,,,,0.04,2024-01-03
Liechtenstein,8,,,1.4,1.3,,,,0.04,2024-01-04
Liechtenstein,8,,,1.4,1.3,,,,0.04,2024-01-05
Liechtenstein,8,,,1.4,1.3,,,,0.04,2024-01-06
Liechtenstein,8,,,1.4,1.3,,,,0.04,2024-01-07
