country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-11-23
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-11-24
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-11-25
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-11-26
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-11-27
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-11-28
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-11-29
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-11-30
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-12-01
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-12-02
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-12-03
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-12-04
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-12-05
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-12-06
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-12-07
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-12-08
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-12-09
Egypt,477,9.8,19.25,35.8,7.1,-6.2,87.2,-3.7,104.4,2023-12-10
Egypt,477,9.8,19.25,34.6,7.1,-6.2,87.2,-3.7,104.4,2023-12-11
Egypt,477,9.8,19.25,34.6,7.1,-6.2,87.2,-3.7,104.4,2023-12-12
Egypt,477,9.8,19.25,34.6,7.1,-6.2,87.2,-3.7,104.4,2023-12-13
Egypt,477,9.8,19.25,34.6,7.1,-6.2,87.2,-3.7,104.4,2023-12-14
Egypt,477,9.8,19.25,34.6,7.1,-6.2,87.2,-3.7,104.4,2023-12-15
Egypt,477,9.8,19.25,34.6,7.1,-6.2,87.2,-3.7,104.4,2023-12-16
Egypt,477,9.8,19.25,34.6,7.1,-6.2,87.2,-3.7,104.4,2023-12-17
Egypt,477,9.8,19.25,34.6,7.1,-6.2,87.2,-3.7,104.4,2023-12-18
Egypt,477,9.8,19.25,34.6,7.1,-6.2,87.2,-3.7,104.4,2023-12-19
Egypt,477,9.8,19.25,34.6,7.1,-6.2,87.2,-3.7,104.4,2023-12-20
Egypt,477,9.8,19.25,34.6,7.1,-6.2,87.2,-3.7,104.4,2023-12-21
Egypt,477,9.8,19.25,34.6,7.1,-6.2,87.2,-3.7,104.4,2023-12-22
