country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Bahrain,44,4.74,6.25,-0.1,5.5,-5.6,119.5,15.4,1.47,2023-11-23
Bahrain,44,4.74,6.25,-0.1,5.5,-5.6,119.5,15.4,1.47,2023-11-24
Bahrain,44,4.74,6.25,-0.1,5.5,-5.6,119.5,15.4,1.47,2023-11-25
Bahrain,44,4.74,6.25,-0.1,5.5,-5.6,119.5,15.4,1.47,2023-11-26
Bahrain,44,4.74,6.25,-0.1,5.5,-5.6,119.5,15.4,1.47,2023-11-27
Bahrain,44,4.74,6.25,-0.1,5.5,-5.6,119.5,15.4,1.47,2023-11-28
Bahrain,44,4.74,6.25,0.0,5.5,-5.6,119.5,15.4,1.47,2023-11-29
Bahrain,44,4.74,6.25,0.0,5.5,-5.6,119.5,15.4,1.47,2023-11-30
Bahrain,44,4.74,6.25,0.0,5.5,-5.6,119.5,15.4,1.47,2023-12-01
Bahrain,44,4.74,6.25,0.0,5.5,-5.6,119.5,15.4,1.47,2023-12-02
Bahrain,44,4.74,6.25,0.0,5.5,-5.6,119.5,15.4,1.47,2023-12-03
