country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Suriname,4,,10.0,50.8,8.6,-0.9,116.6,-1.7,0.62,2023-11-23
Suriname,4,,10.0,50.8,8.6,-0.9,116.6,-1.7,0.62,2023-11-24
Suriname,4,,10.0,50.8,8.6,-0.9,116.6,-1.7,0.62,2023-11-25
Suriname,4,,10.0,50.8,8.6,-0.9,116.6,-1.7,0.62,2023-11-26
Suriname,4,,10.0,50.8,8.6,-0.9,116.6,-1.7,0.62,2023-11-27
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-11-28
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-11-29
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-11-30
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-01
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-02
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-03
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-04
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-05
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-06
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-07
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-08
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-09
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-10
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-11
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-12
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-13
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-14
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-15
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-16
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-17
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-18
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-19
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-20
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-21
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-22
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-23
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-24
Suriname,4,,10.0,43.4,8.6,-0.9,116.6,-1.7,0.62,2023-12-25
Suriname,4,,10.0,38.7,8.6,-0.9,116.6,-1.7,0.62,2023-12-26
Suriname,4,,10.0,38.7,8.6,-0.9,116.6,-1.7,0.62,2023-12-27
Suriname,4,,10.0,38.7,8.6,-0.9,116.6,-1.7,0.62,2023-12-28
Suriname,4,,10.0,38.7,8.6,-0.9,116.6,-1.7,0.62,2023-12-29
Suriname,4,,10.0,38.7,8.6,-0.9,116.6,-1.7,0.62,2023-12-30
Suriname,4,,10.0,38.7,8.6,-0.9,116.6,-1.7,0.62,2023-12-31
Suriname,4,,10.0,38.7,8.6,-0.9,116.6,-1.7,0.62,2024-01-01
Suriname,4,,10.0,38.7,8.6,-0.9,116.6,-1.7,0.62,2024-01-02
Suriname,4,,10.0,38.7,8.6,-0.9,116.6,-1.7,0.62,2024-01-03
Suriname,4,,10.0,38.7,8.6,-0.9,116.6,2.1,0.62,2024-01-04
Suriname,4,,10.0,38.7,8.6,-0.9,116.6,2.1,0.62,2024-01-05
Suriname,4,,10.0,38.7,8.6,-0.9,116.6,2.1,0.62,2024-01-06
Suriname,4,,10.0,38.7,8.6,-0.9,116.6,2.1,0.62,2024-01-07
Suriname,4,,10.0,38.7,8.6,-0.9,116.6,2.1,0.62,2024-01-08
