country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-11-23
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-11-24
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-11-25
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-11-26
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-11-27
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-11-28
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-11-29
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-11-30
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-01
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-02
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-03
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-04
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-05
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-06
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-07
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-08
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-09
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-10
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-11
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-12
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-13
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-14
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-15
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-16
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-17
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-18
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-19
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-20
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-21
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-22
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-23
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-24
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-25
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-26
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-27
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-28
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-29
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-30
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2023-12-31
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2024-01-01
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2024-01-02
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2024-01-03
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2024-01-04
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2024-01-05
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2024-01-06
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-4.2,30.21,2024-01-07
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-08
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-09
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-10
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-11
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-12
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-13
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-14
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-15
Ivory Coast,70,,5.25,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-16
Ivory Coast,70,,5.5,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-17
Ivory Coast,70,,5.5,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-18
Ivory Coast,70,,5.5,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-19
Ivory Coast,70,,5.5,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-20
Ivory Coast,70,,5.5,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-21
Ivory Coast,70,,5.5,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-22
Ivory Coast,70,,5.5,3.7,2.6,-6.7,56.0,-6.9,30.21,2024-01-23
Ivory Coast,70,,5.5,3.9,2.6,-6.7,56.0,-6.9,30.21,2024-01-24
Ivory Coast,70,,5.5,3.9,2.6,-6.7,56.0,-6.9,30.21,2024-01-25
Ivory Coast,70,,5.5,3.9,2.6,-6.7,56.0,-6.9,30.21,2024-01-26
Ivory Coast,70,,5.5,3.9,2.6,-6.7,56.0,-6.9,30.21,2024-01-27
Ivory Coast,70,,5.5,3.9,2.6,-6.7,56.0,-6.9,30.21,2024-01-28
Ivory Coast,70,,5.5,3.9,2.6,-6.7,56.0,-6.9,30.21,2024-01-29
Ivory Coast,70,,5.5,3.9,2.6,-6.7,56.0,-6.9,30.21,2024-01-30
Ivory Coast,70,,5.5,3.9,2.6,-6.7,56.0,-6.9,30.21,2024-01-31
Ivory Coast,70,,5.5,3.9,2.6,-6.7,56.0,-6.9,30.21,2024-02-01
Ivory Coast,70,,5.5,3.9,2.6,-6.7,56.0,-6.9,30.21,2024-02-02
Ivory Coast,70,,5.5,3.9,2.6,-6.7,56.0,-6.9,30.21,2024-02-03
Ivory Coast,70,,5.5,3.9,2.6,-6.7,56.0,-6.9,30.21,2024-02-04
Ivory Coast,70,,5.5,3.9,2.6,-6.7,56.0,-6.9,30.21,2024-02-05
