country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Pakistan,377,5.79,22.0,26.9,6.3,-7.9,89.0,-0.7,235.82,2023-11-23
Pakistan,377,5.79,22.0,26.9,6.3,-7.9,89.0,-0.7,235.82,2023-11-24
Pakistan,377,5.79,22.0,26.9,6.3,-7.9,89.0,-0.7,235.82,2023-11-25
Pakistan,377,5.79,22.0,26.9,6.3,-7.9,89.0,-0.7,235.82,2023-11-26
Pakistan,377,5.79,22.0,26.89,6.3,-7.9,89.0,-0.7,235.82,2023-11-27
Pakistan,377,5.79,22.0,26.89,6.3,-7.9,89.0,-0.7,235.82,2023-11-28
Pakistan,377,5.79,22.0,26.89,6.3,-7.9,89.0,-0.7,235.82,2023-11-29
Pakistan,377,5.79,22.0,26.89,6.3,-7.9,89.0,-0.7,235.82,2023-11-30
Pakistan,377,5.79,22.0,29.2,6.3,-7.9,89.0,-0.7,235.82,2023-12-01
Pakistan,377,5.79,22.0,29.2,6.3,-7.9,89.0,-0.7,235.82,2023-12-02
Pakistan,377,5.79,22.0,29.2,6.3,-7.9,89.0,-0.7,235.82,2023-12-03
Pakistan,377,5.79,22.0,29.2,6.3,-7.9,89.0,-0.7,235.82,2023-12-04
Pakistan,377,5.79,22.0,29.2,6.3,-7.9,89.0,-0.7,235.82,2023-12-05
Pakistan,377,5.79,22.0,29.2,6.3,-7.9,89.0,-0.7,235.82,2023-12-06
Pakistan,377,5.79,22.0,29.2,6.3,-7.9,89.0,-0.7,235.82,2023-12-07
Pakistan,377,5.79,22.0,29.2,6.3,-7.9,89.0,-0.7,235.82,2023-12-08
Pakistan,377,5.79,22.0,29.2,6.3,-7.9,89.0,-0.7,235.82,2023-12-09
Pakistan,377,5.79,22.0,29.2,6.3,-7.9,89.0,-0.7,235.82,2023-12-10
Pakistan,377,5.79,22.0,29.2,6.3,-7.9,89.0,-0.7,235.82,2023-12-11
Pakistan,377,5.79,22.0,29.2,6.3,-7.9,89.0,-0.7,235.82,2023-12-12
Pakistan,377,5.79,22.0,29.2,6.3,-7.9,89.0,-0.7,235.82,2023-12-13
