country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Australia,1675,0.4,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-11-23
Australia,1675,0.4,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-11-24
Australia,1675,0.4,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-11-25
Australia,1675,0.4,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-11-26
Australia,1675,0.4,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-11-27
Australia,1675,0.4,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-11-28
Australia,1675,0.4,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-11-29
Australia,1675,0.4,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-11-30
Australia,1675,0.4,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-12-01
Australia,1675,0.4,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-12-02
Australia,1675,0.4,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-12-03
Australia,1675,0.4,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-12-04
Australia,1675,0.4,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-12-05
Australia,1675,0.2,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-12-06
Australia,1675,0.2,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-12-07
Australia,1675,0.2,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-12-08
Australia,1675,0.2,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-12-09
Australia,1675,0.2,4.35,5.4,3.7,-1.4,22.3,1.2,26.27,2023-12-10
Australia,1675,0.2,4.35,5.4,3.7,-1.4,22.3,0.0,26.27,2023-12-11
Australia,1675,0.2,4.35,5.4,3.7,-1.4,22.3,0.0,26.27,2023-12-12
Australia,1675,0.2,4.35,5.4,3.7,-1.4,22.3,0.0,26.27,2023-12-13
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-14
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-15
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-16
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-17
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-18
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-19
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-20
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-21
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-22
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-23
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-24
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-25
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-26
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-27
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-28
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-29
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-30
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2023-12-31
Australia,1675,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2024-01-01
Australia,1693,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2024-01-02
Australia,1693,0.2,4.35,5.4,3.9,-1.4,22.3,0.0,26.27,2024-01-03
