country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-11-23
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-11-24
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-11-25
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-11-26
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-11-27
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-11-28
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-11-29
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-11-30
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-12-01
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-12-02
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-12-03
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-12-04
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-12-05
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-12-06
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-12-07
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-12-08
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-12-09
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-12-10
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-12-11
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-12-12
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-12-13
Kyrgyzstan,11,,13.0,9.2,2.6,-1.1,63.3,-26.8,7.04,2023-12-14
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-15
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-16
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-17
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-18
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-19
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-20
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-21
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-22
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-23
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-24
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-25
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-26
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-27
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-28
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-29
Kyrgyzstan,11,,13.0,8.1,2.6,-1.1,63.3,-26.8,7.04,2023-12-30
