country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Lesotho,3,1.3,7.75,5.8,18.0,-6.3,52.1,-7.6,2.31,2023-11-23
Lesotho,3,1.3,7.75,5.8,18.0,-6.3,52.1,-7.6,2.31,2023-11-24
Lesotho,3,1.3,7.75,5.8,18.0,-6.3,52.1,-7.6,2.31,2023-11-25
Lesotho,3,1.3,7.75,5.8,18.0,-6.3,52.1,-7.6,2.31,2023-11-26
Lesotho,3,1.3,7.75,5.8,18.0,-6.3,52.1,-7.6,2.31,2023-11-27
Lesotho,3,1.3,7.75,5.8,18.0,-6.3,52.1,-7.6,2.31,2023-11-28
Lesotho,3,1.3,7.75,5.8,18.0,-6.3,52.1,-7.6,2.31,2023-11-29
Lesotho,3,1.3,7.75,5.8,18.0,-6.3,52.1,-7.6,2.31,2023-11-30
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-01
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-02
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-03
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-04
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-05
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-06
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-07
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-08
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-09
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-10
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-11
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-12
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-13
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-14
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-15
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-16
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-17
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-18
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-19
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-20
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-21
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-22
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-23
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-24
Lesotho,3,1.3,7.75,6.5,18.0,-6.3,52.1,-7.6,2.31,2023-12-25
Lesotho,3,1.3,7.75,6.8,18.0,-6.3,52.1,-7.6,2.31,2023-12-26
Lesotho,3,1.3,7.75,6.8,18.0,-6.3,52.1,-7.6,2.31,2023-12-27
Lesotho,3,1.3,7.75,6.8,18.0,-6.3,52.1,-7.6,2.31,2023-12-28
Lesotho,3,1.3,7.75,6.8,18.0,-6.3,52.1,-7.6,2.31,2023-12-29
Lesotho,3,1.3,7.75,6.8,18.0,-6.3,52.1,-7.6,2.31,2023-12-30
Lesotho,3,1.3,7.75,6.8,18.0,-6.3,52.1,-7.6,2.31,2023-12-31
Lesotho,3,1.3,7.75,6.8,18.0,-6.3,52.1,-7.6,2.31,2024-01-01
Lesotho,2,1.3,7.75,6.8,18.0,-6.3,52.1,-7.6,2.31,2024-01-02
Lesotho,2,1.3,7.75,6.8,18.0,-6.3,52.1,-7.6,2.31,2024-01-03
Lesotho,2,1.3,7.75,6.8,18.0,-6.3,52.1,-7.6,2.31,2024-01-04
