country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Sweden,586,0.0,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-11-23
Sweden,586,0.0,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-11-24
Sweden,586,0.0,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-11-25
Sweden,586,0.0,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-11-26
Sweden,586,0.0,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-11-27
Sweden,586,0.0,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-11-28
Sweden,586,-0.3,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-11-29
Sweden,586,-0.3,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-11-30
Sweden,586,-0.3,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-12-01
Sweden,586,-0.3,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-12-02
Sweden,586,-0.3,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-12-03
Sweden,586,-0.29,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-12-04
Sweden,586,-0.29,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-12-05
Sweden,586,-0.29,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-12-06
Sweden,586,-0.29,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-12-07
Sweden,586,-0.29,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-12-08
Sweden,586,-0.29,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-12-09
Sweden,586,-0.29,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-12-10
Sweden,586,-0.29,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-12-11
Sweden,586,-0.29,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-12-12
Sweden,586,-0.29,4.0,6.5,7.4,1.1,32.9,4.8,10.45,2023-12-13
Sweden,586,-0.29,4.0,5.8,7.4,1.1,32.9,4.8,10.45,2023-12-14
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-15
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-16
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-17
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-18
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-19
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-20
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-21
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-22
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-23
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-24
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-25
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-26
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-27
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-28
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-29
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-30
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2023-12-31
Sweden,586,-0.29,4.0,5.8,7.1,1.1,32.9,4.8,10.45,2024-01-01
