country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Montenegro,6,,,6.1,16.23,-5.2,69.46,-13.2,0.62,2023-11-23
Montenegro,6,,,6.1,16.23,-5.2,69.46,-13.2,0.62,2023-11-24
Montenegro,6,,,6.1,16.23,-5.2,69.46,-13.2,0.62,2023-11-25
Montenegro,6,,,6.1,16.23,-5.2,69.46,-13.2,0.62,2023-11-26
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-11-27
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-11-28
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-11-29
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-11-30
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-12-01
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-12-02
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-12-03
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-12-04
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-12-05
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-12-06
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-12-07
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-12-08
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-12-09
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-12-10
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-12-11
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-12-12
Montenegro,6,,,6.1,16.86,-5.2,69.46,-13.2,0.62,2023-12-13
Montenegro,6,,,4.8,16.86,-5.2,69.46,-13.2,0.62,2023-12-14
Montenegro,6,,,4.8,16.86,-5.2,69.46,-13.2,0.62,2023-12-15
Montenegro,6,,,4.8,16.86,-5.2,69.46,-13.2,0.62,2023-12-16
Montenegro,6,,,4.8,16.86,-5.2,69.46,-13.2,0.62,2023-12-17
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2023-12-18
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2023-12-19
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2023-12-20
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2023-12-21
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2023-12-22
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2023-12-23
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2023-12-24
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2023-12-25
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2023-12-26
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2023-12-27
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2023-12-28
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2023-12-29
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2023-12-30
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2023-12-31
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2024-01-01
Montenegro,6,,,4.8,17.4,-5.2,69.46,-13.2,0.62,2024-01-02
Montenegro,6,,,4.8,17.4,-5.1,69.46,-13.2,0.62,2024-01-03
Montenegro,6,,,4.8,17.4,-5.1,69.46,-13.2,0.62,2024-01-04
Montenegro,6,,,4.8,17.4,-5.1,69.46,-13.2,0.62,2024-01-05
