country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Czech Republic,291,-0.3,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-11-23
Czech Republic,291,-0.3,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-11-24
Czech Republic,291,-0.3,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-11-25
Czech Republic,291,-0.3,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-11-26
Czech Republic,291,-0.3,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-11-27
Czech Republic,291,-0.3,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-11-28
Czech Republic,291,-0.3,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-11-29
Czech Republic,291,-0.3,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-11-30
Czech Republic,291,-0.5,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-12-01
Czech Republic,291,-0.5,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-12-02
Czech Republic,291,-0.5,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-12-03
Czech Republic,291,-0.5,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-12-04
Czech Republic,291,-0.5,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-12-05
Czech Republic,291,-0.5,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-12-06
Czech Republic,291,-0.5,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-12-07
Czech Republic,291,-0.5,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-12-08
Czech Republic,291,-0.5,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-12-09
Czech Republic,291,-0.5,7.0,8.5,3.5,-3.2,44.2,-6.1,10.53,2023-12-10
Czech Republic,291,-0.5,7.0,7.3,3.5,-3.2,44.2,-6.1,10.53,2023-12-11
Czech Republic,291,-0.5,7.0,7.3,3.5,-3.2,44.2,-6.1,10.53,2023-12-12
Czech Republic,291,-0.5,7.0,7.3,3.5,-3.2,44.2,-6.1,10.53,2023-12-13
Czech Republic,291,-0.5,7.0,7.3,3.5,-3.2,44.2,-6.1,10.53,2023-12-14
Czech Republic,291,-0.5,7.0,7.3,3.5,-3.2,44.2,-6.1,10.53,2023-12-15
Czech Republic,291,-0.5,7.0,7.3,3.5,-3.2,44.2,-6.1,10.53,2023-12-16
Czech Republic,291,-0.5,7.0,7.3,3.5,-3.2,44.2,-6.1,10.53,2023-12-17
Czech Republic,291,-0.5,7.0,7.3,3.5,-3.2,44.2,-6.1,10.53,2023-12-18
