country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Vietnam,409,6.88,4.5,3.59,2.3,-3.41,37.1,-0.9,99.5,2023-11-23
Vietnam,409,6.88,4.5,3.59,2.3,-3.41,37.1,-0.9,99.5,2023-11-24
Vietnam,409,6.88,4.5,3.59,2.3,-3.41,37.1,-0.9,99.5,2023-11-25
Vietnam,409,6.88,4.5,3.59,2.3,-3.41,37.1,-0.9,99.5,2023-11-26
Vietnam,409,6.88,4.5,3.59,2.3,-3.41,37.1,-0.9,99.5,2023-11-27
Vietnam,409,6.88,4.5,3.59,2.3,-3.41,37.1,-0.9,99.5,2023-11-28
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-11-29
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-11-30
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-01
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-02
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-03
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-04
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-05
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-06
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-07
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-08
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-09
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-10
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-11
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-12
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-13
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-14
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-15
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-16
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-17
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-18
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-19
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-20
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-21
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-22
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-23
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-24
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-25
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-26
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-27
Vietnam,409,6.88,4.5,3.45,2.3,-3.41,37.1,-0.9,99.5,2023-12-28
Vietnam,409,6.88,4.5,3.58,2.3,-3.41,37.1,-0.9,99.5,2023-12-29
Vietnam,409,6.88,4.5,3.58,2.3,-3.41,37.1,-0.9,99.5,2023-12-30
Vietnam,409,6.88,4.5,3.58,2.3,-3.41,37.1,-0.9,99.5,2023-12-31
Vietnam,409,6.88,4.5,3.58,2.3,-3.41,37.1,-0.9,99.5,2024-01-01
