country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Mexico,1414,0.9,11.25,4.26,2.9,-3.4,49.6,-0.9,129.0,2023-11-23
Mexico,1414,1.1,11.25,4.26,2.9,-3.4,49.6,-0.9,129.0,2023-11-24
Mexico,1414,1.1,11.25,4.26,2.9,-3.4,49.6,-0.9,129.0,2023-11-25
Mexico,1414,1.1,11.25,4.26,2.9,-3.4,49.6,-0.9,129.0,2023-11-26
Mexico,1414,1.1,11.25,4.26,2.9,-3.4,49.6,-0.9,129.0,2023-11-27
Mexico,1414,1.1,11.25,4.26,2.9,-3.4,49.6,-0.9,129.0,2023-11-28
Mexico,1414,1.1,11.25,4.26,2.9,-3.4,49.6,-0.9,129.0,2023-11-29
Mexico,1414,1.1,11.25,4.26,2.7,-3.4,49.6,-0.9,129.0,2023-11-30
Mexico,1414,1.1,11.25,4.26,2.7,-3.4,49.6,-0.9,129.0,2023-12-01
Mexico,1414,1.1,11.25,4.26,2.7,-3.4,49.6,-0.9,129.0,2023-12-02
Mexico,1414,1.1,11.25,4.26,2.7,-3.4,49.6,-0.9,129.0,2023-12-03
Mexico,1414,1.1,11.25,4.26,2.7,-3.4,49.6,-0.9,129.0,2023-12-04
