country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Mexico,1414,0.9,11.25,4.26,2.9,-3.4,49.6,-0.9,129.0,2023-11-23
Mexico,1414,1.1,11.25,4.26,2.9,-3.4,49.6,-0.9,129.0,2023-11-24
Mexico,1414,1.1,11.25,4.26,2.9,-3.4,49.6,-0.9,129.0,2023-11-25
Mexico,1414,1.1,11.25,4.26,2.9,-3.4,49.6,-0.9,129.0,2023-11-26
Mexico,1414,1.1,11.25,4.26,2.9,-3.4,49.6,-0.9,129.0,2023-11-27
Mexico,1414,1.1,11.25,4.26,2.9,-3.4,49.6,-0.9,129.0,2023-11-28
Mexico,1414,1.1,11.25,4.26,2.9,-3.4,49.6,-0.9,129.0,2023-11-29
Mexico,1414,1.1,11.25,4.26,2.7,-3.4,49.6,-0.9,129.0,2023-11-30
Mexico,1414,1.1,11.25,4.26,2.7,-3.4,49.6,-0.9,129.0,2023-12-01
Mexico,1414,1.1,11.25,4.26,2.7,-3.4,49.6,-0.9,129.0,2023-12-02
Mexico,1414,1.1,11.25,4.26,2.7,-3.4,49.6,-0.9,129.0,2023-12-03
Mexico,1414,1.1,11.25,4.26,2.7,-3.4,49.6,-0.9,129.0,2023-12-04
Mexico,1414,1.1,11.25,4.26,2.7,-3.4,49.6,-0.9,129.0,2023-12-05
Mexico,1414,1.1,11.25,4.26,2.7,-3.4,49.6,-0.9,129.0,2023-12-06
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-07
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-08
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-09
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-10
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-11
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-12
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-13
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-14
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-15
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-16
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-17
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-18
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-19
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-20
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-21
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-22
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-23
Mexico,1414,1.1,11.25,4.32,2.7,-3.4,49.6,-0.9,129.0,2023-12-24
