country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Liberia,4,,20.0,11.1,3.6,-6.9,51.3,-15.8,5.3,2023-11-23
Liberia,4,,20.0,11.1,3.6,-6.9,51.3,-15.8,5.3,2023-11-24
Liberia,4,,20.0,11.1,3.6,-6.9,51.3,-15.8,5.3,2023-11-25
Liberia,4,,20.0,11.1,3.6,-6.9,51.3,-15.8,5.3,2023-11-26
Liberia,4,,20.0,11.1,3.6,-6.9,51.3,-15.8,5.3,2023-11-27
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-11-28
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-11-29
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-11-30
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-01
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-02
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-03
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-04
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-05
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-06
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-07
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-08
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-09
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-10
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-11
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-12
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-13
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-14
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-15
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-16
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-17
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-18
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-19
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-20
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-21
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-22
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-23
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-24
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-25
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-26
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-27
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-28
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-29
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-30
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2023-12-31
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2024-01-01
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2024-01-02
Liberia,4,,20.0,11.7,3.6,-6.9,51.3,-15.8,5.3,2024-01-03
