country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Trinidad and Tobago,28,-4.0,3.5,3.9,3.7,0.6,83.3,19.9,1.37,2023-11-23
Trinidad and Tobago,28,-4.0,3.5,3.9,3.7,0.6,83.3,19.9,1.37,2023-11-24
Trinidad and Tobago,28,-4.0,3.5,3.9,3.7,0.6,83.3,19.9,1.37,2023-11-25
Trinidad and Tobago,28,-4.0,3.5,3.9,3.7,0.6,83.3,19.9,1.37,2023-11-26
Trinidad and Tobago,28,-4.0,3.5,3.9,3.7,0.6,83.3,19.9,1.37,2023-11-27
Trinidad and Tobago,28,-4.0,3.5,3.9,3.7,0.6,83.3,19.9,1.37,2023-11-28
Trinidad and Tobago,28,-4.0,3.5,3.9,3.7,0.6,83.3,19.9,1.37,2023-11-29
Trinidad and Tobago,28,-4.0,3.5,3.9,3.7,0.6,83.3,19.9,1.37,2023-11-30
Trinidad and Tobago,28,-4.0,3.5,3.9,3.7,0.6,83.3,19.9,1.37,2023-12-01
Trinidad and Tobago,28,-4.0,3.5,3.9,3.7,0.6,83.3,19.9,1.37,2023-12-02
Trinidad and Tobago,28,-4.0,3.5,3.9,3.7,0.6,83.3,19.9,1.37,2023-12-03
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-04
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-05
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-06
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-07
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-08
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-09
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-10
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-11
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-12
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-13
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-14
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-15
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-16
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-17
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-18
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-19
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-20
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-21
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-22
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-23
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-24
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-25
Trinidad and Tobago,28,-4.0,3.5,1.3,3.7,0.6,83.3,19.9,1.37,2023-12-26
