country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.5,100.6,-5.6,67.79,2023-11-23
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-11-23
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-11-24
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-11-25
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-11-26
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-11-27
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-11-28
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-11-29
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-11-30
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-01
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-02
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-03
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-04
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-05
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-06
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-07
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-08
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-09
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-10
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-11
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-12
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-13
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-14
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-15
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-16
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-17
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-18
United Kingdom,3071,0.0,5.25,4.6,4.2,-5.0,97.1,-5.6,67.79,2023-12-19
United Kingdom,3071,0.0,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2023-12-20
United Kingdom,3071,0.0,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2023-12-21
United Kingdom,3071,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2023-12-22
United Kingdom,3071,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2023-12-23
United Kingdom,3071,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2023-12-24
United Kingdom,3071,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2023-12-25
United Kingdom,3071,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2023-12-26
United Kingdom,3071,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2023-12-27
United Kingdom,3071,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2023-12-28
United Kingdom,3071,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2023-12-29
United Kingdom,3071,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2023-12-30
United Kingdom,3071,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2023-12-31
United Kingdom,3071,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2024-01-01
United Kingdom,3089,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2024-01-02
United Kingdom,3089,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2024-01-03
United Kingdom,3089,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2024-01-04
United Kingdom,3089,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2024-01-05
United Kingdom,3089,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2024-01-06
United Kingdom,3089,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2024-01-07
United Kingdom,3089,-0.1,5.25,3.9,4.2,-5.0,97.1,-5.6,67.79,2024-01-08
