country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-11-23
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-11-24
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-11-25
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-11-26
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-11-27
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-11-28
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-11-29
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-11-30
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-12-01
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-12-02
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-12-03
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-12-04
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-12-05
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-12-06
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-12-07
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-12-08
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-12-09
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-12-10
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-12-11
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-12-12
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-12-13
Israel,522,0.7,4.75,3.7,3.1,0.6,60.9,2.5,9.56,2023-12-14
Israel,522,0.7,4.75,3.3,3.1,0.6,60.9,2.5,9.56,2023-12-15
Israel,522,0.7,4.75,3.3,3.1,0.6,60.9,2.5,9.56,2023-12-16
Israel,522,0.7,4.75,3.3,3.1,0.6,60.9,2.5,9.56,2023-12-17
Israel,522,0.63,4.75,3.3,2.8,0.6,60.9,2.5,9.56,2023-12-18
Israel,522,0.63,4.75,3.3,2.8,0.6,60.9,2.5,9.56,2023-12-19
Israel,522,0.63,4.75,3.3,2.8,0.6,60.9,2.5,9.56,2023-12-20
Israel,522,0.63,4.75,3.3,2.8,0.6,60.9,2.5,9.56,2023-12-21
