country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Haiti,20,,17.0,31.8,14.8,0.66,25.0,-2.3,11.58,2023-11-23
Haiti,20,,17.0,31.8,14.8,0.66,25.0,-2.3,11.58,2023-11-24
Haiti,20,,17.0,31.8,14.8,0.66,25.0,-2.3,11.58,2023-11-25
Haiti,20,,17.0,31.8,14.8,0.66,25.0,-2.3,11.58,2023-11-26
Haiti,20,,17.0,31.8,14.8,0.66,25.0,-2.3,11.58,2023-11-27
Haiti,20,,17.0,22.8,14.8,0.66,25.0,-2.3,11.58,2023-11-28
Haiti,20,,17.0,22.8,14.8,0.66,25.0,-2.3,11.58,2023-11-29
Haiti,20,,17.0,22.8,14.8,0.66,25.0,-2.3,11.58,2023-11-30
Haiti,20,,17.0,22.8,14.8,0.66,25.0,-2.3,11.58,2023-12-01
Haiti,20,,17.0,22.8,14.8,0.66,25.0,-2.3,11.58,2023-12-02
Haiti,20,,17.0,22.8,14.8,0.66,25.0,-2.3,11.58,2023-12-03
Haiti,20,,17.0,22.8,14.8,0.66,25.0,-2.3,11.58,2023-12-04
Haiti,20,,17.0,22.8,14.8,0.66,25.0,-2.3,11.58,2023-12-05
Haiti,20,,17.0,22.8,14.8,0.66,25.0,-2.3,11.58,2023-12-06
Haiti,20,,17.0,22.8,14.8,0.66,25.0,-2.3,11.58,2023-12-07
Haiti,20,,17.0,22.8,14.8,0.66,25.0,-2.3,11.58,2023-12-08
Haiti,20,,17.0,22.8,14.8,0.66,25.0,-2.3,11.58,2023-12-09
