country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Belgium,579,0.5,4.5,0.36,5.6,-3.5,104.3,-1.1,11.63,2023-11-23
Belgium,579,0.5,4.5,0.36,5.6,-3.5,104.3,-1.1,11.63,2023-11-24
Belgium,579,0.5,4.5,0.36,5.6,-3.5,104.3,-1.1,11.63,2023-11-25
Belgium,579,0.5,4.5,0.36,5.6,-3.5,104.3,-1.1,11.63,2023-11-26
Belgium,579,0.5,4.5,0.36,5.6,-3.5,104.3,-1.1,11.63,2023-11-27
Belgium,579,0.5,4.5,0.36,5.6,-3.5,104.3,-1.1,11.63,2023-11-28
Belgium,579,0.5,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-11-29
Belgium,579,0.4,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-11-30
Belgium,579,0.4,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-12-01
Belgium,579,0.4,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-12-02
Belgium,579,0.4,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-12-03
Belgium,579,0.4,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-12-04
Belgium,579,0.4,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-12-05
Belgium,579,0.4,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-12-06
Belgium,579,0.4,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-12-07
Belgium,579,0.4,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-12-08
Belgium,579,0.4,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-12-09
Belgium,579,0.4,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-12-10
Belgium,579,0.4,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-12-11
Belgium,579,0.4,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-12-12
Belgium,579,0.4,4.5,0.76,5.6,-3.5,104.3,-1.1,11.63,2023-12-13
