country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Iceland,28,2.2,9.25,7.9,3.5,-4.1,68.7,-2.0,0.38,2023-11-23
Iceland,28,2.2,9.25,7.9,3.5,-4.1,68.7,-2.0,0.38,2023-11-24
Iceland,28,2.2,9.25,7.9,3.5,-4.1,68.7,-2.0,0.38,2023-11-25
Iceland,28,2.2,9.25,7.9,3.5,-4.1,68.7,-2.0,0.38,2023-11-26
Iceland,28,2.2,9.25,7.9,3.5,-4.1,68.7,-2.0,0.38,2023-11-27
Iceland,28,2.2,9.25,7.9,3.5,-4.1,68.7,-2.0,0.38,2023-11-28
Iceland,28,2.2,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-11-29
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-11-30
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-01
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-02
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-03
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-04
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-05
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-06
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-07
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-08
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-09
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-10
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-11
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-12
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-13
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-14
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-15
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-16
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-17
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-18
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-19
Iceland,28,-3.8,9.25,8.0,3.5,-4.1,68.7,-2.0,0.38,2023-12-20
Iceland,28,-3.8,9.25,7.7,3.5,-4.1,68.7,-2.0,0.38,2023-12-21
Iceland,28,-3.8,9.25,7.7,3.5,-4.1,68.7,-2.0,0.38,2023-12-22
Iceland,28,-3.8,9.25,7.7,3.5,-4.1,68.7,-2.0,0.38,2023-12-23
Iceland,28,-3.8,9.25,7.7,3.5,-4.1,68.7,-2.0,0.38,2023-12-24
Iceland,28,-3.8,9.25,7.7,3.5,-4.1,68.7,-2.0,0.38,2023-12-25
Iceland,28,-3.8,9.25,7.7,3.5,-4.1,68.7,-2.0,0.38,2023-12-26
Iceland,28,-3.8,9.25,7.7,3.5,-4.1,68.7,-2.0,0.38,2023-12-27
Iceland,28,-3.8,9.25,7.7,3.5,-4.1,68.7,-2.0,0.38,2023-12-28
Iceland,28,-3.8,9.25,7.7,3.5,-4.1,68.7,-2.0,0.38,2023-12-29
Iceland,28,-3.8,9.25,7.7,3.5,-4.1,68.7,-2.0,0.38,2023-12-30
Iceland,28,-3.8,9.25,7.7,3.5,-4.1,68.7,-2.0,0.38,2023-12-31
Iceland,28,-3.8,9.25,7.7,3.5,-4.1,68.7,-2.0,0.38,2024-01-01
Iceland,28,-3.8,9.25,7.7,3.5,-4.1,68.7,-2.0,0.38,2024-01-02
Iceland,28,-3.8,9.25,7.7,3.5,-4.1,68.7,-2.0,0.38,2024-01-03
Iceland,28,-3.8,9.25,7.7,3.1,-4.1,68.7,-2.0,0.38,2024-01-04
Iceland,28,-3.8,9.25,7.7,3.1,-4.1,68.7,-2.0,0.38,2024-01-05
Iceland,28,-3.8,9.25,7.7,3.1,-4.1,68.7,-2.0,0.38,2024-01-06
Iceland,28,-3.8,9.25,7.7,3.1,-4.1,68.7,-2.0,0.38,2024-01-07
Iceland,28,-3.8,9.25,7.7,3.1,-4.1,68.7,-2.0,0.38,2024-01-08
Iceland,28,-3.8,9.25,7.7,3.1,-4.1,68.7,-2.0,0.38,2024-01-09
Iceland,28,-3.8,9.25,7.7,3.1,-4.1,68.7,-2.0,0.38,2024-01-10
Iceland,28,-3.8,9.25,7.7,3.1,-4.1,68.7,-2.0,0.38,2024-01-11
Iceland,28,-3.8,9.25,7.7,3.1,-4.1,68.7,-2.0,0.38,2024-01-12
