country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-11-23
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-11-24
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-11-25
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-11-26
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-11-27
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-11-28
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-11-29
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-11-30
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-01
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-02
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-03
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-04
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-05
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-06
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-07
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-08
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-09
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-10
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-11
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-12
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-13
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-14
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-15
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-16
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-17
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-18
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-19
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-20
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-21
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-22
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-23
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-24
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-25
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-26
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-27
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-28
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-29
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-30
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2023-12-31
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2024-01-01
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2024-01-02
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2024-01-03
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2024-01-04
Eritrea,2,,,7.5,6.6,-2.2,163.8,12.2,3.21,2024-01-05
