country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Greece,219,1.3,4.5,3.4,10.0,-2.4,172.6,-10.3,10.6,2023-11-23
Greece,219,1.3,4.5,3.4,10.0,-2.4,172.6,-10.3,10.6,2023-11-24
Greece,219,1.3,4.5,3.4,10.0,-2.4,172.6,-10.3,10.6,2023-11-25
Greece,219,1.3,4.5,3.4,10.0,-2.4,172.6,-10.3,10.6,2023-11-26
Greece,219,1.3,4.5,3.4,10.0,-2.4,172.6,-10.3,10.6,2023-11-27
Greece,219,1.3,4.5,3.4,10.0,-2.4,172.6,-10.3,10.6,2023-11-28
Greece,219,1.3,4.5,3.4,10.0,-2.4,172.6,-10.3,10.6,2023-11-29
Greece,219,1.3,4.5,3.4,9.6,-2.4,172.6,-10.3,10.6,2023-11-30
Greece,219,1.3,4.5,3.4,9.6,-2.4,172.6,-10.3,10.6,2023-12-01
Greece,219,1.3,4.5,3.4,9.6,-2.4,172.6,-10.3,10.6,2023-12-02
Greece,219,1.3,4.5,3.4,9.6,-2.4,172.6,-10.3,10.6,2023-12-03
Greece,219,1.3,4.5,3.4,9.6,-2.4,172.6,-10.3,10.6,2023-12-04
Greece,219,1.3,4.5,3.4,9.6,-2.4,172.6,-10.3,10.6,2023-12-05
Greece,219,0.0,4.5,3.4,9.6,-2.4,172.6,-10.3,10.6,2023-12-06
