country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Puerto Rico,113,,,3.3,5.5,,,,3.22,2023-11-23
Puerto Rico,113,,,3.3,5.5,,,,3.22,2023-11-24
Puerto Rico,113,,,3.3,5.5,,,,3.22,2023-11-25
Puerto Rico,113,,,3.3,5.5,,,,3.22,2023-11-26
Puerto Rico,113,,,3.3,5.5,,,,3.22,2023-11-27
Puerto Rico,113,,,3.3,5.5,,,,3.22,2023-11-28
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-11-29
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-11-30
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-01
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-02
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-03
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-04
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-05
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-06
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-07
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-08
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-09
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-10
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-11
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-12
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-13
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-14
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-15
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-16
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-17
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-18
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-19
Puerto Rico,113,,,2.7,5.5,,,,3.22,2023-12-20
