country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Cyprus,28,1.1,4.5,3.47,6.2,2.4,85.6,-7.9,0.9,2023-11-23
Cyprus,28,1.1,4.5,3.47,6.2,2.4,85.6,-7.9,0.9,2023-11-24
Cyprus,28,1.1,4.5,3.47,6.2,2.4,85.6,-7.9,0.9,2023-11-25
Cyprus,28,1.1,4.5,3.47,6.2,2.4,85.6,-7.9,0.9,2023-11-26
Cyprus,28,1.1,4.5,3.47,6.2,2.4,85.6,-7.9,0.9,2023-11-27
Cyprus,28,1.1,4.5,3.47,6.2,2.4,85.6,-7.9,0.9,2023-11-28
Cyprus,28,1.1,4.5,3.47,6.2,2.4,85.6,-7.9,0.9,2023-11-29
Cyprus,28,1.1,4.5,3.47,5.8,2.4,85.6,-7.9,0.9,2023-11-30
Cyprus,28,1.1,4.5,3.47,5.8,2.4,85.6,-7.9,0.9,2023-12-01
Cyprus,28,1.1,4.5,3.47,5.8,2.4,85.6,-7.9,0.9,2023-12-02
Cyprus,28,1.1,4.5,3.47,5.8,2.4,85.6,-7.9,0.9,2023-12-03
Cyprus,28,1.1,4.5,3.47,5.8,2.4,85.6,-7.9,0.9,2023-12-04
Cyprus,28,1.1,4.5,3.47,5.8,2.4,85.6,-7.9,0.9,2023-12-05
Cyprus,28,1.1,4.5,3.47,5.8,2.4,85.6,-7.9,0.9,2023-12-06
Cyprus,28,1.1,4.5,1.7,5.8,2.4,85.6,-7.9,0.9,2023-12-07
Cyprus,28,1.1,4.5,1.7,5.8,2.4,85.6,-7.9,0.9,2023-12-08
Cyprus,28,1.1,4.5,1.7,5.8,2.4,85.6,-7.9,0.9,2023-12-09
Cyprus,28,1.1,4.5,1.7,5.8,2.4,85.6,-7.9,0.9,2023-12-10
Cyprus,28,1.1,4.5,1.71,5.8,2.4,85.6,-7.9,0.9,2023-12-11
