country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Peru,243,-0.2,7.0,4.34,6.6,-1.7,33.8,-4.5,33.73,2023-11-23
Peru,243,-0.2,7.0,4.34,6.6,-1.7,33.8,-4.5,33.73,2023-11-24
Peru,243,-0.2,7.0,4.34,6.6,-1.7,33.8,-4.5,33.73,2023-11-25
Peru,243,-0.2,7.0,4.34,6.6,-1.7,33.8,-4.5,33.73,2023-11-26
Peru,243,-0.2,7.0,4.34,6.6,-1.7,33.8,-4.5,33.73,2023-11-27
Peru,243,-0.2,7.0,4.34,6.6,-1.7,33.8,-4.5,33.73,2023-11-28
Peru,243,-0.2,7.0,4.34,6.6,-1.7,33.8,-4.5,33.73,2023-11-29
Peru,243,-0.2,7.0,4.34,6.6,-1.7,33.8,-4.5,33.73,2023-11-30
Peru,243,-0.2,7.0,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-01
Peru,243,-0.2,7.0,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-02
Peru,243,-0.2,7.0,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-03
Peru,243,-0.2,7.0,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-04
Peru,243,-0.2,7.0,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-05
Peru,243,-0.2,7.0,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-06
Peru,243,-0.2,7.0,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-07
Peru,243,-0.2,7.0,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-08
Peru,243,-0.2,7.0,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-09
Peru,243,-0.2,7.0,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-10
Peru,243,-0.2,7.0,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-11
Peru,243,-0.2,7.0,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-12
Peru,243,-0.2,7.0,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-13
Peru,243,-0.2,7.0,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-14
Peru,243,-0.2,6.75,3.64,6.6,-1.7,33.8,-4.5,33.73,2023-12-15
