country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-11-23
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-11-24
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-11-25
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-11-26
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-11-27
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-11-28
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-11-29
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-11-30
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-12-01
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-12-02
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-12-03
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-12-04
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-12-05
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-12-06
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-12-07
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-12-08
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-12-09
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-12-10
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-12-11
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-12-12
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-12-13
New Caledonia,10,,4.75,0.5,12.3,,,,2.74,2023-12-14
New Caledonia,10,,4.75,0.7,12.3,,,,2.74,2023-12-15
New Caledonia,10,,4.75,0.7,12.3,,,,2.74,2023-12-16
New Caledonia,10,,4.75,0.7,12.3,,,,2.74,2023-12-17
New Caledonia,10,,4.75,0.7,12.3,,,,2.74,2023-12-18
New Caledonia,10,,4.75,0.7,12.3,,,,2.74,2023-12-19
New Caledonia,10,,4.75,0.7,12.3,,,,2.74,2023-12-20
New Caledonia,10,,4.75,0.7,12.3,,,,2.74,2023-12-21
New Caledonia,10,,4.75,0.7,12.3,,,,2.74,2023-12-22
New Caledonia,10,,4.75,0.7,12.3,,,,2.74,2023-12-23
New Caledonia,10,,4.75,0.7,12.3,,,,2.74,2023-12-24
New Caledonia,10,,4.75,0.7,12.3,,,,2.74,2023-12-25
New Caledonia,10,,4.75,0.7,12.3,,,,2.74,2023-12-26
New Caledonia,10,,4.75,0.7,12.3,,,,2.74,2023-12-27
New Caledonia,10,,4.75,0.7,12.3,,,,2.74,2023-12-28
