country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Ireland,529,-1.8,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-11-23
Ireland,529,-1.8,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-11-24
Ireland,529,-1.8,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-11-25
Ireland,529,-1.8,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-11-26
Ireland,529,-1.8,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-11-27
Ireland,529,-1.8,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-11-28
Ireland,529,-1.8,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-11-29
Ireland,529,-1.8,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-11-30
Ireland,529,-1.9,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-12-01
Ireland,529,-1.9,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-12-02
Ireland,529,-1.9,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-12-03
Ireland,529,-1.9,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-12-04
Ireland,529,-1.9,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-12-05
Ireland,529,-1.9,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-12-06
Ireland,529,-1.9,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-12-07
Ireland,529,-1.9,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-12-08
Ireland,529,-1.9,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-12-09
Ireland,529,-1.9,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-12-10
Ireland,529,-1.9,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-12-11
Ireland,529,-1.9,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-12-12
Ireland,529,-1.9,4.5,5.1,4.8,1.7,44.4,10.8,5.15,2023-12-13
Ireland,529,-1.9,4.5,3.9,4.8,1.7,44.4,10.8,5.15,2023-12-14
Ireland,529,-1.9,4.5,3.9,4.8,1.7,44.4,10.8,5.15,2023-12-15
Ireland,529,-1.9,4.5,3.9,4.8,1.7,44.4,10.8,5.15,2023-12-16
Ireland,529,-1.9,4.5,3.9,4.8,1.7,44.4,10.8,5.15,2023-12-17
Ireland,529,-1.9,4.5,3.9,4.8,1.7,44.4,10.8,5.15,2023-12-18
