country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Spain,1398,0.3,4.5,3.5,11.84,-4.7,111.6,0.6,47.43,2023-11-23
Spain,1398,0.3,4.5,3.5,11.84,-4.7,111.6,0.6,47.43,2023-11-24
Spain,1398,0.3,4.5,3.5,11.84,-4.7,111.6,0.6,47.43,2023-11-25
Spain,1398,0.3,4.5,3.5,11.84,-4.7,111.6,0.6,47.43,2023-11-26
Spain,1398,0.3,4.5,3.5,11.84,-4.7,111.6,0.6,47.43,2023-11-27
Spain,1398,0.3,4.5,3.5,11.84,-4.7,111.6,0.6,47.43,2023-11-28
Spain,1398,0.3,4.5,3.2,11.84,-4.7,111.6,0.6,47.43,2023-11-29
Spain,1398,0.3,4.5,3.2,11.84,-4.7,111.6,0.6,47.43,2023-11-30
Spain,1398,0.3,4.5,3.2,11.84,-4.7,111.6,0.6,47.43,2023-12-01
Spain,1398,0.3,4.5,3.2,11.84,-4.7,111.6,0.6,47.43,2023-12-02
Spain,1398,0.3,4.5,3.2,11.84,-4.7,111.6,0.6,47.43,2023-12-03
Spain,1398,0.3,4.5,3.2,11.84,-4.7,111.6,0.6,47.43,2023-12-04
Spain,1398,0.3,4.5,3.2,11.84,-4.7,111.6,0.6,47.43,2023-12-05
Spain,1398,0.3,4.5,3.2,11.84,-4.7,111.6,0.6,47.43,2023-12-06
Spain,1398,0.3,4.5,3.2,11.84,-4.7,111.6,0.6,47.43,2023-12-07
Spain,1398,0.3,4.5,3.2,11.84,-4.7,111.6,0.6,47.43,2023-12-08
Spain,1398,0.3,4.5,3.2,11.84,-4.7,111.6,0.6,47.43,2023-12-09
Spain,1398,0.3,4.5,3.2,11.84,-4.7,111.6,0.6,47.43,2023-12-10
Spain,1398,0.3,4.5,3.2,11.84,-4.7,111.6,0.6,47.43,2023-12-11
