country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-11-23
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-11-24
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-11-25
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-11-26
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-11-27
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-11-28
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-11-29
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-11-30
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-12-01
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-12-02
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-12-03
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-12-04
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-12-05
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-12-06
Mozambique,18,2.0,17.25,4.75,25.04,-3.7,101.0,-39.1,31.62,2023-12-07
Mozambique,18,2.0,17.25,5.36,25.04,-3.7,101.0,-39.1,31.62,2023-12-08
Mozambique,18,2.0,17.25,5.36,25.04,-3.7,101.0,-39.1,31.62,2023-12-09
Mozambique,18,2.0,17.25,5.36,25.04,-3.7,101.0,-39.1,31.62,2023-12-10
Mozambique,18,2.0,17.25,5.36,25.04,-3.7,101.0,-39.1,31.62,2023-12-11
Mozambique,18,2.0,17.25,5.36,25.04,-3.7,101.0,-39.1,31.62,2023-12-12
Mozambique,18,2.0,17.25,5.36,25.04,-3.7,101.0,-39.1,31.62,2023-12-13
