country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Turkey,906,3.5,35.0,61.36,9.1,-0.9,31.7,-5.3,85.28,2023-11-23
Turkey,906,3.5,40.0,61.36,9.1,-0.9,31.7,-5.3,85.28,2023-11-23
Turkey,906,3.5,40.0,61.36,9.1,-0.9,31.7,-5.3,85.28,2023-11-24
Turkey,906,3.5,40.0,61.36,9.1,-0.9,31.7,-5.3,85.28,2023-11-25
Turkey,906,3.5,40.0,61.36,9.1,-0.9,31.7,-5.3,85.28,2023-11-26
Turkey,906,3.5,40.0,61.36,9.1,-0.9,31.7,-5.3,85.28,2023-11-27
Turkey,906,3.5,40.0,61.36,9.1,-0.9,31.7,-5.3,85.28,2023-11-28
Turkey,906,3.5,40.0,61.36,9.1,-0.9,31.7,-5.3,85.28,2023-11-29
Turkey,906,0.3,40.0,61.36,9.1,-0.9,31.7,-5.3,85.28,2023-11-30
Turkey,906,0.3,40.0,61.36,9.1,-0.9,31.7,-5.3,85.28,2023-12-01
Turkey,906,0.3,40.0,61.36,9.1,-0.9,31.7,-5.3,85.28,2023-12-02
Turkey,906,0.3,40.0,61.36,9.1,-0.9,31.7,-5.3,85.28,2023-12-03
Turkey,906,0.3,40.0,61.98,9.1,-0.9,31.7,-5.3,85.28,2023-12-04
Turkey,906,0.3,40.0,61.98,9.1,-0.9,31.7,-5.3,85.28,2023-12-05
Turkey,906,0.3,40.0,61.98,9.1,-0.9,31.7,-5.3,85.28,2023-12-06
Turkey,906,0.3,40.0,61.98,9.1,-0.9,31.7,-5.3,85.28,2023-12-07
Turkey,906,0.3,40.0,61.98,9.1,-0.9,31.7,-5.3,85.28,2023-12-08
Turkey,906,0.3,40.0,61.98,9.1,-0.9,31.7,-5.3,85.28,2023-12-09
Turkey,906,0.3,40.0,61.98,9.1,-0.9,31.7,-5.3,85.28,2023-12-10
Turkey,906,0.3,40.0,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-11
Turkey,906,0.3,40.0,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-12
Turkey,906,0.3,40.0,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-13
Turkey,906,0.3,40.0,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-14
Turkey,906,0.3,40.0,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-15
Turkey,906,0.3,40.0,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-16
Turkey,906,0.3,40.0,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-17
Turkey,906,0.3,40.0,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-18
Turkey,906,0.3,40.0,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-19
Turkey,906,0.3,40.0,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-20
Turkey,906,0.3,42.5,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-21
Turkey,906,0.3,42.5,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-22
Turkey,906,0.3,42.5,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-23
Turkey,906,0.3,42.5,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-24
Turkey,906,0.3,42.5,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-25
Turkey,906,0.3,42.5,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-26
Turkey,906,0.3,42.5,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-27
Turkey,906,0.3,42.5,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-28
Turkey,906,0.3,42.5,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-29
Turkey,906,0.3,42.5,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-30
Turkey,906,0.3,42.5,61.98,8.5,-0.9,31.7,-5.3,85.28,2023-12-31
Turkey,906,0.3,42.5,61.98,8.5,-0.9,31.7,-5.3,85.28,2024-01-01
Turkey,907,0.3,42.5,61.98,8.5,-0.9,31.7,-5.3,85.28,2024-01-02
Turkey,907,0.3,42.5,64.77,8.5,-0.9,31.7,-5.3,85.28,2024-01-03
Turkey,907,0.3,42.5,64.77,8.5,-0.9,31.7,-5.3,85.28,2024-01-04
Turkey,907,0.3,42.5,64.77,8.5,-0.9,31.7,-5.3,85.28,2024-01-05
Turkey,907,0.3,42.5,64.77,8.5,-0.9,31.7,-5.3,85.28,2024-01-06
Turkey,907,0.3,42.5,64.77,8.5,-0.9,31.7,-5.3,85.28,2024-01-07
Turkey,907,0.3,42.5,64.77,8.5,-0.9,31.7,-5.3,85.28,2024-01-08
